Bäckerei	N	пека́рня f, бу́лочная f		f		<-, -en>
baden	VB	купа́ться, вы́- perf	intr		perf	
Bad	N	ва́нна f		nt	pl:	<-(e)s, Bäder>
Badewanne	N	ва́нна f		f		<-, -n>
Bahn	N	доро́га f, путь m		f		<-, -en>
S-Bahn	N	(городска́я) электри́чка f		f		<-, -en>
Straßenbahn	N	трамва́й m		f		<-, -en>
U-Bahn	N	метро́ nt		f		<-, -bahnen>
Bahnhof	N	железнодоро́жный вокза́л m		m		<-(e)s, -höfe>
Bahnsteig	N	перро́н m		m	pl:	<-(e)s, -e>
bald	ADV	ско́ро, вско́ре				
Balkon	N	балко́н m		m	pl:	-s, -s  [oder -e]
Ball	N	мяч m		m	pl:	<-(e)s, Bälle>
Ballett	N	бале́т m		nt		<-(e)s, -e>
Banane	N	бана́н m		f		<-, -n>
Bank	N	скамья́ f, ла́вка f		f	pl:	<-, Bänke>
Bank	N	банк m		f		<-, -en>
Bankleitzahl	N	код  m  ба́нка		f		<- ,-en>
Bar	N	сто́йка  f  ба́ра, бар m		f		<-, -s>
bar	ADJ	нали́чный				
Bargeld	N	нали́чные pl		nt		<-(e)s>
Bart	N	борода́ f		m	pl:	<-(e)s, Bärte>
Basketball	N	баскетбо́л m, баскетбо́льный мяч m		m		<-(e)s, -bälle>
basteln	VB	мастери́ть, смастери́ть perf	trans		perf	
Batterie	N	батаре́я f		f	pl:	<-, -n>
Bauch	N	живо́т m		m		<-(e)s, Bäuche>
bauen	VB	стро́ить, по- perf	trans		perf	
Bau	N	строи́тельство nt		m	kein pl	<-(e)s>
Bau	N	постро́йка f, сооруже́ние nt		m		<-(e)s, -ten>
Bau	N			m		<-(e)s, -e>
Baustelle	N	стро́йка f		f		<-, -n>
Bauer	N	крестья́нин m, пе́шка f		m	rar	<-n [oder     rar -s], -n>
Baum	N	де́рево nt		m	pl:	<-(e)s, Bäume>
beachten	VB	обраща́ть	trans		ohne ge-	
Beamte	N	госуда́рственный слу́жащий m, должностно́е лицо́ nt		m		<ein -r, -n, -n>
beantragen	VB	подава́ть, хода́тайствовать imperf	trans		ohne ge-	
beantworten	VB	отвеча́ть	trans		ohne ge-	
Bedarf	N	спрос m		m	kein pl	<-(e)s>
bedeuten	VB	означа́ть imperf	trans		ohne ge-	
Bedeutung	N	значе́ние nt, смысл m		f		<-, -en>
